Sentence_Type,Class_Type,,,
"
and then it would jump from there to the full coach non-penalty for 1070",statement,,,
let's say the wedding would be around 11,command,,,
"
and do you want me to read off the flights",question,,,
"
he's not",statement,,,
"
 we've done this before over the over the phone with a company credit card",statement,,,
"
the next American's at 5:30",statement,,,
"
i'm all set then",statement,,,
"
and you did make the reservation for the uh Monday 5 2 0 9 flight",statement,,,
"
and that's backwards seats this time",statement,,,
"
and let me just see",command,,,
"
and did you already make that reservation",question,,,
"
and the fare is 234 dollars and 64 cents",statement,,,
"
and we'll get the tickets over to you as soon as possible",statement,,,
"
it won't",statement,,,
"
cos the the two seats",statement,,,
"
if it's you made it directly with them",statement,,,
"
what's the cost for that  that advance booking reduction",question,,,
"
never had the option before",statement,,,
"
Delta has a flight at 7:05 a m",statement,,,
"
it arrives at 4:23  into Dallas",statement,,,
"
will leave SFO at",statement,,,
"
i'll go on that",statement,,,
"
is that what you want to do",question,,,
"
i know there used to be one about quarter to about 7 o'clock",statement,,,
"
you arrive in Birmingham New Street at 10:15",statement,,,
"
and that's backward travel",statement,,,
"
the next Thursday",statement,,,
"
we will actually phone and have to confirm this reservation with  Southwestern",statement,,,
"
so once you buy it",statement,,,
"
we've got that number in the system here i believe",statement,,,
"
if you just bear with me a moment",statement,,,
"
he's going th... the most direct route to Or... to Lake Tahoe",statement,,,
"
the closest thing i have to arriving at that time would be a flight leaving at 8:20 from San Francisco",statement,,,
"
it depends on on when the flights are",statement,,,
"
 if you have to",statement,,,
"
or  what about any other time",question,,,
"
that's the schedule for December",statement,,,
"
that fare will be 9 34",statement,,,
"
is is San Jose closer to them er",question,,,
"
this is like the 11th",statement,,,
"
do you want to start on the Friday again",question,,,
"
as long as you're prepared to stick to the date and time",statement,,,
"
and i advised Mr FFF of that",statement,,,
"
so are there no trains that go directly to Blackpool",question,,,
"
and what date is it you're travelling",question,,,
"
i could print up an order for them",statement,,,
"
then it's going to be 20 pounds 40",statement,,,
"
it's 7 2 2   Road",statement,,,
"
if you're returning on a Friday",statement,,,
"
i... it's really going to be crazy routing to do it that way",statement,,,
"
is there one earlier than the 6:34 or is that the first one out of Wigan in the morning",question,,,
"
i think this is her",statement,,,
"
and then he wants to return from um Baltimore Washington  to San Francisco on the 23rd of June",statement,,,
"
let me change that",command,,,
"
but the US Air um is selling out in the lower classes of service",statement,,,
"
it would be exactly the same fare",statement,,,
"
it changes so much",statement,,,
"
and then he would take another flight to Heathrow",statement,,,
"
ar... are we done with um B",question,,,
"
the US Air's at 7:50",statement,,,
"
there's a flight",statement,,,
"
they've all now being booked up",statement,,,
"
that's  on request",statement,,,
"
i want to see if i can get seats for him on those flights",statement,,,
"
you arrive at 21:06",statement,,,
"
the person",statement,,,
"
and and it's the same no matter if if we changed to United",statement,,,
"
he must uh",statement,,,
"
that's 10 to 3 isn't it",statement,,,
"
and we have to do one more",statement,,,
"
my name's Sandra",statement,,,
"
 you arrive in Wilmslow for 21:18",statement,,,
"
but the only train that is available is the 7:56 in the morning",statement,,,
let me just look  in their system,command,,,
"
and the return would be i believe US Air 2 7 7 7",statement,,,
"
they have connections that get you in at 1:55",statement,,,
"
i'll put forward facing  anyway",statement,,,
"
and  is it smoking or non-smoking",question,,,
"
they don't want to talk to me",statement,,,
"
and that's on the 31st of October",statement,,,
"
you want me to price this and see what we get for the lowest available fare",statement,,,
"
is that 2 adults",question,,,
"
he's in a meeting",statement,,,
"
let me take all that down anyway",command,,,
"
it'd be the same day",statement,,,
"
what date of travel would that be for",question,,,
"
the... they're not going to be at 6:30",statement,,,
"
but it's supposed to be starting  from Birmingham",statement,,,
and let's check the seats,command,,,
"
it's going from Oxenholme to London Euston on Monday the 5th",statement,,,
"
is there anything else",question,,,
"
we can run them today now",statement,,,
"
 what time tomorrow would you like to depart",question,,,
"
that's United 8 1 9 on the 29th of June",statement,,,
"
there were no penalties attached to that fare",statement,,,
"
you said you had a second reservation",statement,,,
"
i i don't know",statement,,,
"
the advance purchase ticket is like a Walk-on",statement,,,
"
let me look at the bottom for the credit card",command,,,
"
which what is the departure date that you're referring to",question,,,
"
 you must cancel by 2 o'clock the day before travel",statement,,,
"
the cheapest fare available is going to be the Apex at 26 pounds 50 return",statement,,,
"
i'll i'll tell their secretary to give you a call",statement,,,
"
i am",statement,,,
"
wherever Saudia flies out of to Riyadh",statement,,,
"
or don't you need that",question,,,
"
and i'm just trying to see if i can verify it on another carrier",statement,,,
"
maybe that's what he's trying to say",statement,,,
"
are there seats on both of those",question,,,
"
it is true",statement,,,
"
 do they require assistance at all",question,,,
"
is it an aisle",question,,,
"
could you give me your credit card number",question,,,
"
i i uh i just want to make the reservation to make sure i have a spot",statement,,,
"
and what was the next word",question,,,
"
what date do you want me to book for you",question,,,
"
we we can use that if you want to go ahead for the conference rate",statement,,,
"
you said at the moment you've got a a 4:38 United out of Vancouver 5:25 into Seattle",statement,,,
"
or is someone else going to be ticketing it",question,,,
"
it's flight 9 2 7 on the 26th of July Dallas to Denver",statement,,,
"
i have to make three separate  reservations",statement,,,
"
i'm just going to check the 12:17 from Liverpool Lime Street arrives in Newcastle",statement,,,
"
you've got to book it",statement,,,
"
this is A from American Express",statement,,,
"
there's not any advance purchase tickets left",statement,,,
"
i need to go to Southbend Indiana",statement,,,
"
i guess you could either look under arrivals at Tokyo or departures on Saturday night Sunday morning",statement,,,
"
it's from Watford yes",statement,,,
"
the 15:20 is the same",statement,,,
"
i i indicated i said the only  thing that was given to me was a flight that goes into He... you know was flights going into Heathrow",statement,,,
"
you're travelling from Durham  at 6 thir... 53 in the morning",statement,,,
"
we... if you give me the days",statement,,,
"
and how many people's travelling",question,,,
"
cos we've got um",statement,,,
"
i think the last time the guy told him it was almost 12 hundred",statement,,,
"
he has asked if it wouldn't be any problem if he can have a Newark to Los Angeles open return",statement,,,
"
and the time  of uh when he places and time of booking  and yeah the actual reservation",statement,,,
"
 the cheapest fare that's going to be available is the Saver Return",statement,,,
"
it would probably be uh leaving on June 17th",statement,,,
"
i leave at 5 o'clock",statement,,,
"
this ticket was issued",statement,,,
"
 and you need to take your credit card and quote this reference number",statement,,,
"
i've just been quoted 19 pounds",statement,,,
"
i'm just going to book your seat again",statement,,,
"
and is it Sunday the 4th  of  October",question,,,
"
i want to get the cheap fare",statement,,,
"
i'm not",statement,,,
"
that's what i needed",statement,,,
"
it's in my dir... director's name",statement,,,
"
i'll specify Crewe and see what it brings up",statement,,,
"
i don't",statement,,,
"
but the next train's available",statement,,,
"
and that is available what with the return date that would be on that",statement,,,
"
you need to be there for 50 minutes before departure time",statement,,,
"
that is round trip",statement,,,
"
it's        Retpot Close",statement,,,
and let's see,command,,,
"
and that's Monday the 5th yeah",statement,,,
"
it's 6 8 0",statement,,,
"
i think i'll go ahead and commit him to that",statement,,,
"
let me tell you",command,,,
"
i think it that would have to be using a 25 percent penalty on TWA",statement,,,
"
i you know i got a confirmation number from them",statement,,,
"
i would like to come home about fiveish",statement,,,
"
i can't remember",statement,,,
"
we can't void it",statement,,,
"
we're going to have a pretty full day meeting on the on Tuesday the 20th",statement,,,
"
and this is the reference number the tickets have been booked under",statement,,,
"
i am travelling on",statement,,,
"
 it's about an hour and 3 quarters",statement,,,
"
i do",statement,,,
"
 if you had to change in the time of travel",statement,,,
put me on the American flight,command,,,
"
and then does he know there is a non-stop that goes from Dulles to San Francisco instead of connection through St Louis",question,,,
"
i'll send that address in",statement,,,
"
i can give you a registered address if you just hold on a second",statement,,,
"
they've not actually got the appropriate ticket on their booking system",statement,,,
"
what they have now",statement,,,
"
i...  if somebody was in some other city and wanted to go to Moscow",statement,,,
"
it's a full refund if you have to cancel this ticket",statement,,,
"
but what i do need is",statement,,,
"
i'm trying to see if that's the one",statement,,,
"
it's 13 dollars",statement,,,
"
you want to still go ahead and do it today",statement,,,
"
it'd have to be like 5:50",statement,,,
"
if you wanted to uh leave San Francisco at 7 a m",statement,,,
"
 you need to take your credit card with you tomorrow",statement,,,
"
 there's a 5 fif... 33 from Wigan",statement,,,
"
what about your",question,,,
"
and does anyone have a railcard",question,,,
"
i'm actually coming back by car",statement,,,
"
and i'm just waiting for a confirmation number on the car",statement,,,
"
so you need to get  the bus from Macclesfield to Wilmslow then Wilmslow to Euston",statement,,,
"
this is um a round trip from San Francisco to Stockholm",statement,,,
"
i probably need to think about that",statement,,,
"
can you give me your full address please",question,,,
"
 i'm afraid there's not any available for the Sunday",statement,,,
"
 the trains don't run at half past the hour on a Saturday",statement,,,
"
but if i only use it one way",statement,,,
"
you collect your tickets 45 minutes before departure time  at the booking office in Liverpool Lime Street",statement,,,
"
arrival is at 10:30",statement,,,
"
and that would involve a 25 percent penalty for making any changes or refunds",statement,,,
"
i need to change um C D's coming back trip from Washington D C on the 19th of July",statement,,,
"
this is a new reservation",statement,,,
"
and you just need to quote this reference number",statement,,,
"
it's going to be a higher rate",statement,,,
hold on,command,,,
"
and when about",statement,,,
"
you can also",statement,,,
"
how's that",question,,,
so let's book that midnight red eye out of SFO,command,,,
"
i want to book the ticket",statement,,,
let me just see what,command,,,
"
do it on Monday",command,,,
"
and the fare on this is 162 dollars",statement,,,
"
how long",statement,,,
"
i won't be returning",statement,,,
"
 if you have to cancel your journey",statement,,,
"
i fancy sort of",statement,,,
"
i was a bit concerned that erm  i... if i miss that connection there's another one fairly soon after isn't there",statement,,,
let me pull up the flight number,command,,,
"
i don't know what you",statement,,,
"
they told me you can try",statement,,,
"
it would have to be issued within 24 hours",statement,,,
"
what and when again",statement,,,
"
is there anything a little",question,,,
"
that's out of Chicago at 7:10 a m",statement,,,
"
so we're not going to make a resevation",statement,,,
"
it would get in at 9:50 p_m",statement,,,
"
it's 15 2 54  Road",statement,,,
"
but it's backward travel at a table",statement,,,
"
i'm going to have to phone you back",statement,,,
"
that's that's confirmed now",statement,,,
"
the normal connection would be a 5:55 departure",statement,,,
"
it'll either have to either be the 13:20 departing Preston or the 16:31",statement,,,
"
and about what time did you want to leave",question,,,
"
it could be anywhere from 2 to 4 weeks",statement,,,
"
do they sell out usually",question,,,
"
and the tickets will go out in the first class post tomorrow morning to you",statement,,,
"
because we do not  have one in his profile",statement,,,
"
the Super Advance is available",statement,,,
"
you'll be able to get the Virgin Value Business at 45 pounds",statement,,,
"
you would probably be in Coach",statement,,,
"
i'm a disabled person",statement,,,
"
if you can  just bear with me please",statement,,,
"
open return",statement,,,
"
he wants to take the 1:40 from Dallas to on United",statement,,,
"
tha... i i thought you said December",statement,,,
"
but there's no penalty existing",statement,,,
"
it gets into Seattle at 12:15",statement,,,
"
 do you want me to book the seat just now",question,,,
"
or are you not in on this site",question,,,
"
Northwest will go through Detroit",statement,,,
"
i'd like to get to Birmingham 9 am or as close to 9 o'clock either side of it as i can",statement,,,
"
but you're flying back across the US to go to Tokyo",statement,,,
"
the name of the business is",statement,,,
"
what time does he want to arrive",question,,,
"
i don't have to be there until about 10 o'clock",statement,,,
"
if he can go business class",statement,,,
try Beijing,command,,,
"
but then they don't tell us which ones we can't",statement,,,
"
i'd like it on my American Express card",statement,,,
"
and then you're gonna call back with the rest of the itinerary on this",statement,,,
"
it's the 5th 2",statement,,,
"
there's an 8 p m departure on Air Canada",statement,,,
"
arrival time in Newark would be 4:43",statement,,,
"
we issue the tickets out of WWW",statement,,,
"
and i'll get back to you later today",statement,,,
"
what time would you like to depart Durham",question,,,
"
there's an early Air Canada connection through Toronto again",statement,,,
"
that's what he wants",statement,,,
"
and he requests flight 3 2 3 TWA",statement,,,
"
how many people are going to be travelling on this",question,,,
"
he will be leaving uh returning actually on the the Thursday after",statement,,,
"
he's got um",statement,,,
"
the 15:35 on Sunday from Euston arrives back in Warrington Bank Quay at 18:03",statement,,,
"
what time do you want to travel from Preston at",question,,,
"
 there's a 10:31 arriving at 13:30",statement,,,
"
there isn't any one carrier that flies all the way in there",statement,,,
"
cos i like him",statement,,,
"
what was the name of the business",question,,,
"
let me change it to",command,,,
"
you always have to go",statement,,,
"
you have to change at Wigan North Western",statement,,,
"
you're confirmed on that one",statement,,,
"
 the number 8",statement,,,
"
i will do that",statement,,,
"
where",question,,,
"
i'd like to arrive in er London at hal... around half past seven if possible",statement,,,
"
but it is non-smoking",statement,,,
"
 i've checked them first of all",statement,,,
"
and that's departing from Stockport tomorrow the 2nd",statement,,,
"
and which day would Mr B like to travel",question,,,
"
even to to any one of those stations",statement,,,
"
that may not be appropriate",statement,,,
"
he's travelled before",statement,,,
"
he's coming back on Lufthansa",statement,,,
"
cos he's not going to be the only person in that limousine",statement,,,
"
hold on just a second",command,,,
"
why don't we do that one",question,,,
"
this is full fare",statement,,,
"
it's the 24th of October",statement,,,
"
and was there anything else",question,,,
"
it's a disabled card",statement,,,
"
that was it",statement,,,
"
whose record am i in right now",question,,,
"
and i believe it's departing at 12:25 p m",statement,,,
"
it's real restrictive too",statement,,,
"
only if there's an overnight direct flight on Piedmont",statement,,,
"
they're going to pick him up an hour and a half prior to departure",statement,,,
"
there is another option that we wouldn't  be aware of",statement,,,
"
i think there's one at 7:25 Eus... London Euston",statement,,,
"
the 16:20",statement,,,
"
it's direct in that it's the same plane all the way through",statement,,,
"
let me request that on uh United flight 12",command,,,
"
but i don't mind",statement,,,
"
and then it would have gone up to uh 1 48 one way",statement,,,
"
i need a full coach",statement,,,
and let me check what the airfare is,command,,,
"
let me pull up your profile",command,,,
"
 and is there any seat preference",question,,,
let me see what we have um seating-wise,command,,,
"
the only",statement,,,
"
Continental's just a little cheaper market then American is",statement,,,
"
i i've done this before",statement,,,
"
we've got him on United flight 3 4 6 on the 2nd of August",statement,,,
"
i want to travel on Tuesday the 6th",statement,,,
"
 does anyone have a railcard who's travelling",question,,,
"
if you miss the service i've reserved you on",statement,,,
"
what's the last name of the  passenger",question,,,
"
i'm going to put you on hold for just a second while  you check that out",statement,,,
"
there's a CP Air f... uh connection through Vancouver",statement,,,
"
because the system's actually changed",statement,,,
"
there's only like a dollar difference between compact and midsized",statement,,,
"
the same day",statement,,,
"
and that would have the the address and phone number and all that kind of stuff about the hotel plus the confirmation number",statement,,,
"
and you'd arrive",statement,,,
"
what time do you like to depart Stockport at",question,,,
"
there's a Delta non-stop at 7:40 a m",statement,,,
"
and uh i think that's going to do it those two ho... hotel reservations and and the one flight",statement,,,
"
i'm just thinking",statement,,,
"
it would have to be on Am... on United",statement,,,
"
it looks like San Jose",statement,,,
"
and he is going on a 2 o'clock flight",statement,,,
"
i'm checking for the Super Advance Return at 41 pounds 50 each",statement,,,
"
 could i have erm",question,,,
"
because he could change his mind",statement,,,
"
it's  giving me all the legal connections available",statement,,,
"
that's United flight 1 7 5",statement,,,
"
what is she doing",question,,,
"
they asked me before about that",statement,,,
"
please give him the ticket",command,,,
"
there's an Alaska Air flight at 10:15",statement,,,
"
the other thing is",statement,,,
"
let's say mid-July",command,,,
"
why don't we do that",question,,,
"
but it's preferable a table",statement,,,
"
you get a full refund less 5 pounds  if you cancel by 2 o'clock the day before the outward  journey",statement,,,
"
can it be San Francisco Long Beach",question,,,
"
so i i'd rather get the 20 dollars",statement,,,
"
i think they've booked",statement,,,
"
the next train departs at 15:26",statement,,,
"
it's Tok Alaska",statement,,,
"
it's almost the same price if you go round trip",statement,,,
"
and United will go through",statement,,,
"
we are",statement,,,
"
and the cheapest way to do it is going to is",statement,,,
"
which is a Saver Single",statement,,,
"
the day before",statement,,,
"
 you can only get up to 4 adults on a family card",statement,,,
"
when when is it next i can get",question,,,
"
the outbound flight is pricing at a discounted fare without um without any penalty",statement,,,
"
i'm going to have to send it off to the airlines for faring",statement,,,
and confirm the address for me please,command,,,
"
and what time did she tell you it left it was",question,,,
"
and it's it's a long good journey",statement,,,
"
is that on the same day",question,,,
"
say around 6 o'clock",command,,,
"
if there's anything Thursday night    from Wigan",statement,,,
"
then the cheapest fare that's going to be available is your Super Saver return at 50 pounds 50",statement,,,
"
let me see if there's something later here",command,,,
"
it's at 9:59",statement,,,
"
it's just for the day",statement,,,
"
would you rather fly on the Alaska flight",question,,,
"
let's take a look at ah",command,,,
"
i can",statement,,,
"
there's a 25 percent penalty ticket",statement,,,
"
they come through the post",statement,,,
"
is he a new traveller or",question,,,
"
cos they're going to increase the fare",statement,,,
"
do you want to book the return or leave this return journey open",question,,,
"
but it leaves leaves the night before at 11:40 p m",statement,,,
"
you would just leave a full refund less 5 pounds",statement,,,
"
it's first class",statement,,,
"
leave it open",command,,,
"
but i mean it's on this in this atlas",statement,,,
"
 and what type of credit card",question,,,
"
and what type of credit card was that you said you hold",question,,,
"
so there's st... still seats available",statement,,,
"
 that'll be 30 pounds each",statement,,,
"
it looks like we're not having any luck with um ou... the Delta flight on the 16 the July from San Francisco to Atlanta",statement,,,
"
he's returning on the 16 of June on US Air flight 2 6 6 5",statement,,,
"
and there's not any availability there for the Virgin Value fare",statement,,,
"
and i he mentioned a couple",statement,,,
"
and the charge number",statement,,,
 just hold the line,command,,,
"
what are we changing this to",question,,,
let me check on that flight,command,,,
"
and that's for the 8th of October",statement,,,
"
and the date that we know we're booking is on what day",statement,,,
"
it's the same number   as i gave you before",statement,,,
"
there's",statement,,,
"
 you'll be able to get the Standard Open Single at 33 pounds on your outward service",statement,,,
"
you would arrive o... on a Sunday their time",statement,,,
"
if i leave on Thursday",statement,,,
"
the only thing i could confirm would be a middle seat",statement,,,
"
we can",statement,,,
"
it's still the same fare",statement,,,
"
if we do ticket the 1 1 2 4 today  and that Lufthansa flight comes up you know la...  later",statement,,,
"
 then it's a train from Wilmslow at 16:46",statement,,,
"
the 18 twe...",statement,,,
"
the cheapest fare that's going to be available  is your Walk-on",statement,,,
"
l... l... let's book it through uh San Francisco",command,,,
"
what's his wife's name",question,,,
"
 do you want to book a ticket or are you just enquiring   at the moment",question,,,
"
it is totally non-refundable",statement,,,
"
just ticket it",command,,,
"
i was intending",statement,,,
"
i'd like to go from Preston to London",statement,,,
"
i don't need any hotels",statement,,,
"
the cheapest fare that's going to be available is the Super Advance Return 27 pounds",statement,,,
"
and is it less be... on on the way back because of the stop",question,,,
"
let's leave the return open right now",command,,,
"
 and you arrive in Milton Keynes for 20:05",statement,,,
"
maybe that's why it's so cheap",statement,,,
"
 which is",statement,,,
"
it is available",statement,,,
"
it's me",statement,,,
"
that's a little later",statement,,,
"
 the first train available is 10 fi... 25 in the morning",statement,,,
"
what you're going to have to do  is get the train from Euston to Wilmslow",statement,,,
let me pull it up here,command,,,
"
the 10th 98",statement,,,
"
 and the first one",statement,,,
"
Air Europe has a flight round trip for 2 13 59",statement,,,
"
 i he wants  this changed also",statement,,,
"
 and it's",statement,,,
let's see what would get you there then,command,,,
"
the 27th is a Tuesday",statement,,,
"
this ticket is non-refundable non-changeable",statement,,,
"
can you help me with that",question,,,
"
he's going to go San Francisco to Newark",statement,,,
"
you just need the credit card's address",statement,,,
"
 and the only service",statement,,,
"
and does he",question,,,
"
we're having a lot of problems on the US Air seat maps",statement,,,
"
i have a card here",statement,,,
"
i i had",statement,,,
"
i know",statement,,,
"
the name comes up",statement,,,
"
that's still going to arrive on Monday",statement,,,
"
she told me that",statement,,,
"
i'm just going to check that cos the fares are actually off change",statement,,,
"
i don't know if they care if they sit together",statement,,,
"
i was just going to send you an itinerary with the   the um the addresses and confirmation numbers all printed out on each segment",statement,,,
"
it's a different town",statement,,,
"
do you hold a current credit or debit or credit card",question,,,
"
i didn't",statement,,,
"
i can see what seats are available",statement,,,
"
and he said they would um look into it when they check in in San Jose",statement,,,
"
the latest would be uh 1 p m arriving 3:35 p m",statement,,,
"
not business or first",statement,,,
"
the ticket will go out in the first class post this afternoon",statement,,,
have a good weekend,command,,,
"
it looks like the first one is a 7:40 on American uh Eagle",statement,,,
"
i'll do that",statement,,,
"
i'll just going to reserve your seats",statement,,,
"
 is he there just now",question,,,
"
there is delivery over to WWW",statement,,,
"
and the tickets will be posted out in the first class post tomorrow morning to  you",statement,,,
"
it's uh 5:45 Pan Am",statement,,,
"
that's enough",statement,,,
"
it's ok",statement,,,
"
the number 1",statement,,,
"
you must do so by 2 o'clock the day before",statement,,,
"
because he may want to make some adjustments",statement,,,
"
it's it's whatever is going to get me there",statement,,,
"
we'll just go ahead and hold the um",statement,,,
"
 is it smoking or non-smoking",question,,,
"
and i'm just checking to see what's your cheapest fare available to you",statement,,,
"
i don't think they're going to have service that late",statement,,,
"
the lowest one way fare out of San Francisco would be on United at 2 o... 205 dollars one way",statement,,,
"
and then what date would you be returning",question,,,
"
what  what price is that",question,,,
"
can i go earlier on the Saturday",question,,,
"
i can come home on the 19:09",statement,,,
"
you do",statement,,,
"
is this going to be for for business or for personal",question,,,
"
i leave on the 9th 10:31 from Wigan arrive to Edinburgh a...",statement,,,
let me just let me check their times,command,,,
"
there's unfortunately there are no um aisles across from each other this way",statement,,,
"
does it have to be 11:41 train that you get travelling out",question,,,
"
and what is the",question,,,
"
that's the third one",statement,,,
"
i need to arrange for you to collect your ticket from the train station",statement,,,
"
and this is on the 21st of June",statement,,,
excuse a moment,command,,,
"
we do have a Delta flight that lands at 5:20",statement,,,
"
so i guess we extend it 4 years on this",statement,,,
"
are we booking a car",question,,,
"
would bring that portion down to 29 dollars one way",statement,,,
"
but it doesn't matter if you can't",statement,,,
"
is it San Francisco at 7:05   or San Jose",question,,,
"
can you confirm that address for me please",question,,,
then let me go with 2 0 2 0 one E,command,,,
"
it might i might be going on a later train",statement,,,
"
can i can i take your name and ring you back",question,,,
"
can you give me your contact telephone number please",question,,,
"
it's the 5th of October",statement,,,
"
 2 tickets will be posted out to you this afternoon first class mail",statement,,,
"
and you'll have the tickets there",statement,,,
"
and and she said she was going to put me on a table",statement,,,
"
i think i'm going to call back later and just take a chance",statement,,,
"
i'm just going to book your seat",statement,,,
"
let me just look  in their system",command,,,
"
and there's going to be a bus service from Wilmslow to Stockport",statement,,,
"
i just need to turn up to the advance ticket  desk",statement,,,
"
so there are options",statement,,,
"
that's wonderful",statement,,,
"
the eighth",statement,,,
"
and you want the lowest fare available",statement,,,
"
should we do that",question,,,
"
never mind then",statement,,,
"
i think there's a train at 12:35 from London Euston",statement,,,
"
that's the same day",statement,,,
"
that's one",statement,,,
"
they were both available",statement,,,
"
the credit card holder must be at the train station to collect and sign for the tickets",statement,,,
"
 is that going to be a suitable time for you",question,,,
"
that's flight 14 13",statement,,,
"
it's the 8th",statement,,,
"
it's 70 pounds 50",statement,,,
"
do you want me to book that",question,,,
"
that's in the afternoon",statement,,,
let me um just go ahead and book this United flight,command,,,
"
because they're not in our system",statement,,,
let me um let me take a look at the rules,command,,,
 and confirm that address for me please,command,,,
"
could you check it",question,,,
"
are we  saying that maybe uh that something was filled",question,,,
"
what is that",question,,,
let me make sure i can get your seats non smoking windows on all flights,command,,,
"
do you want me to book this ticket",question,,,
let me let me call,command,,,
"
i think he's going to",statement,,,
"
so  they're 20 past the hour apart from there's one at 16:31",statement,,,
"
i'll call you back on the Dulles non-stop flight so we'll",statement,,,
"
and what is your seating preference",question,,,
"
that's with a 25 percent penalty",statement,,,
"
why can't he get that 11 24 whatever round trip",statement,,,
"
 and then i'll find out tomorrow which one is the best station to get off",statement,,,
"
i'm just checking early morning",statement,,,
"
you must book your return",statement,,,
let me get a generic profile,command,,,
"
the United's wide open",statement,,,
"
there is no penalties or anything",statement,,,
"
i'm not certain whether they have them like after 10 minutes after the hour",statement,,,
"
except that his um advance number is",statement,,,
"
and he would request an United flight",statement,,,
"
is that in San Jose",question,,,
"
 you arrive in London Euston for 17 hundred",statement,,,
"
and this is just for a quote",statement,,,
"
that's just great",statement,,,
"
it does indeed",statement,,,
"
i'd have to keep him for that kind of fare",statement,,,
"
when it does list",statement,,,
"
i'm i'm going to do that",statement,,,
let's take a look here,command,,,
"
and this is the reference number your tickets have been booked under",statement,,,
"
and you'll be able to get the 10:50 going out on the  Saturday the 17th",statement,,,
"
and hopefully the business class please",statement,,,
let's take a look,command,,,
"
 they've now been booked up",statement,,,
"
you don't want to",statement,,,
"
and the fare on this is a 198 dollars",statement,,,
"
that is that should be all it takes",statement,,,
"
 the rest of the adults pay 30 pounds 70",statement,,,
get the 3:30 flight please,command,,,
"
and that's  8 5",statement,,,
"
it's a non-penalty fare of course",statement,,,
"
and it's on US Air flight 2 7 8 2",statement,,,
"
that's gonna be two fifty eight round trip instead of two ninety  six",statement,,,
"
the same evening",statement,,,
"
you're not gonna arrive there till in the afternoon",statement,,,
"
because i think he's going to fly back up to New York and come back on his regularly scheduled return on Saturday",statement,,,
"
there's a  flight",statement,,,
"
that's  and hour and a half",statement,,,
"
and i'm re... reordering now",statement,,,
"
it's flight 8 6 5 on Tuesday the 6th",statement,,,
"
i can confirm him 19F going out and 19A returning",statement,,,
"
 and it's coach  for",statement,,,
"
it's a local connection",statement,,,
"
or do you have the full address",question,,,
"
can we put them on American",question,,,
"
it'll be one or the other of these",statement,,,
"
so i need to leave Saturday night or around midnight",statement,,,
"
he's departing on June 14th",statement,,,
"
if it has to be the dates and times that you specified to me",statement,,,
"
there's a train at 13:15 from Birmingham New Street",statement,,,
"
i'm going to have to arrange for you to collect your tickets from the train station",statement,,,
"
i can't actually take it with me",statement,,,
"
it's real frustrating",statement,,,
"
you must do so by  6 o'clock the day before travel again",statement,,,
"
it depends on what eh if you want to look at like j... a coach fare on a round trip basis",statement,,,
"
is there going to be a major problem",question,,,
"
if you have to cancel your ticket",statement,,,
"
you you just need a schedule you said",statement,,,
"
what i need right now are um choices",statement,,,
"
and their earliest flight would have you arrive at 8:07 a m",statement,,,
"
the trains run at quarter past and quarter to the hour",statement,,,
let me tell you,command,,,
"
and he doesn't know a flight number or a time",statement,,,
"
i've got it",statement,,,
"
there's a 2:50 on American that arrives San Francisco 5:25 or a 1 o'clock on United that arrives San Francisco 3:14",statement,,,
"
i believe there's a limo that goes directly by WWW",statement,,,
"
and you made the reservation for me for for the last week",statement,,,
"
why don't we look at uh Saturday morning",question,,,
"
make 'em pay",command,,,
"
i know subject to availability",statement,,,
"
it arrives Copenhagen at 1:05 p m on the 27th of May",statement,,,
"
and you would conn... connect with an American flight that would arrive Springfield 12:31",statement,,,
"
but if he wants to go with the lowest no-penalty coach",statement,,,
"
i have that information here",statement,,,
"
 if you needed to change any times",statement,,,
"
and uh let's see",command,,,
"
why don't you go ahead and ticket me on that  for the return",question,,,
"
it's just that there's erm distance between  the stations",statement,,,
"
maybe she was looking out of San Francisco",statement,,,
"
so that's probably why it's so  so low",statement,,,
"
is that going to foul up my ticketing",question,,,
"
if you have to cancel",statement,,,
"
you're travelling from Liverpool Lime Street to Newcastle on Sunday",statement,,,
"
and it's the booking office in Euston",statement,,,
"
tomorrow is Friday",statement,,,
"
i  can tell you the sched...",statement,,,
"
i suddenly recall that i'm going to back you up",statement,,,
"
let me see the table on Tuesday",command,,,
"
that's confirmed right now",statement,,,
"
and what's the name of the company",question,,,
"
i do i do want to book",statement,,,
"
the fare's 19 pounds 80",statement,,,
"
US Air flight has a flight at 7:55 a m",statement,,,
"
and what about any particular carrier that you're looking into",question,,,
"
the other one we got before was it a twin a value twin or something",statement,,,
"
that's kind of what  i thought",statement,,,
"
and i think it's the same train",statement,,,
"
and the credit card number",statement,,,
"
there's a train at 14:58 from Edinburgh",statement,,,
"
hold on a second",command,,,
"
41 pounds 40  is the total fare",statement,,,
"
but i'm not sure  whether we're going to get it",statement,,,
"
do you want me to book this ticket for you",question,,,
"
i'm interested in purchasing a ticket",statement,,,
"
otherwise i think we should get the limo",statement,,,
"
he needs   he needs to arrive in Miami sooner than what shows",statement,,,
"
i think it's Wynn Mail House",statement,,,
"
but that 9:05 is booked up on the outward service",statement,,,
"
but i'd have to t... issue the tickets today",statement,,,
"
and that's going to depart at 5:55 and arrive Charlotte 6:38",statement,,,
"
did we",question,,,
"
i want to leave on the first flight out of ORD",statement,,,
